gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint,n_CCS,n_ACS
RTCA,3.5076425707239465,0.009267177975402344,0.28913996103140854,0.03205083774081187,0.9744315090458787,0.9934838189582197,TP2M,14,19
CDC14A,4.814342355869078,1.3039092498131817,0.2768040084806508,4.710586587854011,2.470048288510457e-06,0.0001627716080493419,TP2M,14,19
EXTL2,0.8918147059577582,0.6009968110509765,0.634067182373009,0.9478440577885359,0.3432088476655266,,TP2M,14,19
SLC30A7,3.6247531884621353,0.9071900301839639,0.3204227768176352,2.831228289055994,0.004636961212462401,0.05882576283261124,TP2M,14,19
DPH5,4.43121963091687,-0.12985349381993197,0.2573988778711926,-0.5044835272549758,0.6139216350037566,0.8539726814517119,TP2M,14,19
AC093157.1,2.2224479245340327,0.019461078304424867,0.35769835652412324,0.05440639563886956,0.956611383421002,0.987841441643539,TP2M,14,19
S1PR1,6.066176410026671,0.8788078552081304,0.26075562571975125,3.3702354562146044,0.0007510398022167199,0.016633925085114357,TP2M,14,19
RNPC3,6.3769024316229945,-0.08276261177954788,0.2330178428456629,-0.35517714338453,0.7224568868209772,0.9018730405774439,TP2M,14,19
VAV3,7.668310535328821,-0.11912256117551745,0.21980643000124242,-0.5419430231174044,0.5878577573064812,0.8448849710128431,TP2M,14,19
VAV3-AS1,0.8732223875152588,-0.6830625195130304,0.6337836496717946,-1.0777534571407055,0.2811437951919824,,TP2M,14,19
SLC25A24,4.491298137243769,-0.39742917464260075,0.24480316373295966,-1.6234642092948244,0.10449020834641819,0.4065191187359932,TP2M,14,19
FAM102B,1.684609158016589,1.2048561476620137,0.4475990760583348,2.691820006136444,0.007106328655392494,,TP2M,14,19
PRPF38B,30.54623438113116,0.050918051653990146,0.11517492496650314,0.4420932044783088,0.6584217616441426,0.8743414081260972,TP2M,14,19
STXBP3,6.4078794563477395,0.19639586434233716,0.2247150444889252,0.8739773733841673,0.3821305759893099,0.7231905729189488,TP2M,14,19
GPSM2,2.5172791426068684,0.08526803393787351,0.324457358345838,0.2628019730314965,0.7927032147189186,0.9321964898838098,TP2M,14,19
CLCC1,1.6524524274218768,0.4673282756216342,0.4565211475950062,1.023672787303635,0.30598985286977554,,TP2M,14,19
WDR47,3.4887333881291913,0.6886411405468611,0.3411775482541848,2.0184245536397616,0.04354706433839186,0.2497376767899556,TP2M,14,19
TAF13,3.015675501871454,0.5364351686807529,0.3613474383743089,1.484541224629012,0.13766539498764216,0.46722203916406735,TP2M,14,19
