variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
JPX,6.390130370855018,-0.8162193154270143,0.6946075357434084,-1.1750798449853415,0.23996277333322702,0.9996783775182935,,JPX,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PHF19,14.38581575554515,-0.490038195597108,0.417211768015036,-1.1745550657129291,0.2401727693086132,0.9996783775182935,,PHF19,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ARPC5L,9.959987137744394,-0.6430512068889949,0.5475131217436835,-1.17449460360155,0.24019697217966085,0.9996783775182935,,ARPC5L,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
STX7,20.142847423335873,-0.5193046538902402,0.44231740545567017,-1.1740543046350587,0.2403732748734908,0.9996783775182935,,STX7,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
AC245128.3,20.57068031191888,0.626283388118244,0.5334932985576684,1.1739292504918792,0.24042336515911977,0.9996783775182935,,AC245128.3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SDHAF2,8.469728926850472,0.5390658131618284,0.45937369069360573,1.1734799447219018,0.24060339472052805,0.9996783775182935,,SDHAF2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CCR7,4.582508315393438,-1.4573395577074666,1.2426084983257857,-1.1728066882457318,0.24087333544202072,0.9996783775182935,,CCR7,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CXCL8,267.2633653963423,-0.9317225455477084,0.7947756226673393,-1.172308912068494,0.24107305482307662,0.9996783775182935,,CXCL8,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ELOVL5,11.515352341981522,0.4429801694768091,0.37810120153064697,1.1715915413215194,0.24136108572601656,0.9996783775182935,,ELOVL5,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
C4orf3,44.52146891993797,-0.2732439439742481,0.23324951506062686,-1.1714662896650645,0.24141140024145347,0.9996783775182935,,C4orf3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
OGFR,11.253477912469423,0.4598837732332194,0.3927791743449936,1.1708456131874372,0.24166083951630934,0.9996783775182935,,OGFR,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
NDEL1,11.573834899056878,0.4654671049807515,0.3975891061667432,1.1707239905751876,0.24170973881377722,0.9996783775182935,,NDEL1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FYB1,88.42878592864663,-0.31938632287863833,0.2728986892274194,-1.170347588633812,0.24186111820307088,0.9996783775182935,,FYB1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
RBM4,9.139654601707313,-0.6421591648890583,0.5487424570890143,-1.170237798430258,0.24190528562502878,0.9996783775182935,,RBM4,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
NOTCH2,25.912380033301712,-0.3882323112449837,0.33193058868435527,-1.1696189639640828,0.24215434224504284,0.9996783775182935,,NOTCH2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ATF3,41.36672680380541,-0.4709603487659241,0.40268377830008,-1.1695538140475188,0.2421805730244989,0.9996783775182935,,ATF3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PIM2,7.367021752736928,-0.7799119890244498,0.667564159825256,-1.1682951781422815,0.24268771968418434,0.9996783775182935,,PIM2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ACTR2,148.33201122748733,0.21133436047745455,0.18149088458622833,1.1644351227846226,0.2442477208424464,0.9996783775182935,,ACTR2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CD63,61.03244316663682,0.28543510879651546,0.24535014634545899,1.1633785960519292,0.24467592976571428,0.9996783775182935,,CD63,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
RANBP9,7.401738833555654,-0.7463042455764194,0.6415377918896181,-1.1633051941931851,0.2447056990080393,0.9996783775182935,,RANBP9,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
HDAC2,8.126804421739784,-0.7155492594709686,0.6153946561236544,-1.1627485750009332,0.2449315271360647,0.9996783775182935,,HDAC2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SH2B3,17.834442015130758,-0.419688227825371,0.36104954882400825,-1.1624117221371904,0.2450682640272498,0.9996783775182935,,SH2B3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
EIF2S1,9.55280501244075,0.522251639269002,0.44940576450314873,1.1620937703066396,0.2451973776509856,0.9996783775182935,,EIF2S1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
COQ7,6.648611798329139,-0.8519863755449635,0.7346119325359478,-1.1597774795242277,0.24613941539999395,0.9996783775182935,,COQ7,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
AC016831.7,7.812065604982306,0.5224827236974512,0.45070448909555666,1.159257864828314,0.24635109114576492,0.9996783775182935,,AC016831.7,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
C3AR1,12.426204046109413,0.609441823012701,0.5257877237689508,1.1591024199730282,0.24641443959244236,0.9996783775182935,,C3AR1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
JDP2,17.013536167026015,0.5033670211790102,0.4343530397737759,1.158889141057189,0.24650137573117148,0.9996783775182935,,JDP2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FMNL1,44.60307859722843,0.27819400544336753,0.2402965178651461,1.1577113472759077,0.24698185170745768,0.9996783775182935,,FMNL1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
