gene,population,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint
ATXN7L3,Pooled_CD4,36.64479317764261,-0.2307528413419877,0.11798652290692209,-1.955755925818963,0.050493913126615164,0.21561619373894284,TP4M
UBTF,Pooled_CD4,156.82065072467853,-0.0970131034522504,0.06617053544307437,-1.466107275733162,0.14261906390545986,0.39192547213736134,TP4M
AC003102.1,Pooled_CD4,10.115888299854099,-0.19389238028814026,0.22858000595768904,-0.8482473323761764,0.3963002421634161,,TP4M
SLC25A39,Pooled_CD4,47.66597867147847,-0.1861744600272261,0.09829457827152047,-1.894046073558135,0.058218894616212484,0.23290420132356,TP4M
GRN,Pooled_CD4,24.21532907908813,-0.10497324625125186,0.1497827411825317,-0.7008367280668667,0.48340491424645915,0.741643080687885,TP4M
GPATCH8,Pooled_CD4,128.64024028235573,-0.05660894400251598,0.06762007492534804,-0.8371618053516172,0.4025016234407116,0.6834243517520977,TP4M
CCDC43,Pooled_CD4,35.331950291005974,0.1732474055909449,0.11571118950583796,1.4972398635847062,0.13433085620237167,0.37893696212902855,TP4M
EFTUD2,Pooled_CD4,28.985178241822133,0.04855443174901217,0.13099637988640875,0.37065476001027897,0.7108946900408881,0.8854426034905293,TP4M
NMT1,Pooled_CD4,62.13050042990002,0.41870698432477577,0.12876493227212898,3.2517159519789876,0.001147105971251531,0.018869707288812734,TP4M
HEXIM1,Pooled_CD4,234.42268841775262,0.42853879829929226,0.1504693452398703,2.848013976641809,0.004399299246444814,0.04613028088701218,TP4M
AC138150.1,Pooled_CD4,9.766435519440497,-0.35606716564241975,0.24198361318835693,-1.4714515621570692,0.14116903779142492,,TP4M
AC008105.3,Pooled_CD4,56.56106346876596,0.005262233527686945,0.11387345590488793,0.04621123936101659,0.9631418843313887,0.9905987681491791,TP4M
FMNL1,Pooled_CD4,119.99108964447332,-0.13351118322862887,0.06994631671341317,-1.9087664583634358,0.05629222558609735,0.229139489541808,TP4M
MAP3K14,Pooled_CD4,20.331006392508655,0.05761497151775383,0.14016748667742898,0.4110437654514319,0.6810404434367787,0.8687295952727808,TP4M
ARHGAP27,Pooled_CD4,16.559471449737785,0.08892341091012695,0.16416916586945052,0.5416572012118281,0.5880546785506988,0.817110812733442,TP4M
PLEKHM1,Pooled_CD4,26.762972468292602,0.05115198398791099,0.14188924909595477,0.36050641125966265,0.7184684630172609,0.889104394523627,TP4M
KANSL1,Pooled_CD4,159.98207985825888,-0.27252248746297214,0.08244624838468426,-3.305456498049676,0.0009482182234595129,0.016317686093643306,TP4M
KANSL1-AS1,Pooled_CD4,67.76179518517421,-0.6929001059710826,0.30580100328375237,-2.265852951856216,0.023460388042625305,0.13707627074617185,TP4M
ARL17B,Pooled_CD4,9.262178374717337,-0.3984275085732577,0.22378215270635127,-1.780425756722778,0.07500630964341441,,TP4M
LRRC37A2,Pooled_CD4,13.527986882994567,-0.3341409112086287,0.21888763647700507,-1.5265408160397922,0.12687523356687153,0.3672656618760703,TP4M
ARL17A,Pooled_CD4,15.460838450858647,-0.4120830441716505,0.2322736085872966,-1.7741277051575801,0.07604202902104579,0.2762294598858257,TP4M
FAM215B,Pooled_CD4,24.90404511316503,-0.18933869612121884,0.17279012949758163,-1.0957726385862152,0.27317828526788757,0.5567588947819689,TP4M
NSF,Pooled_CD4,32.83423321001032,-0.179670206113653,0.17359602280602796,-1.0349903368144109,0.300673424027442,0.5849694991941504,TP4M
GOSR2,Pooled_CD4,25.766979922786202,0.17546054907209083,0.12721563445162698,1.3792373070214785,0.16782159898684557,0.42819432462197043,TP4M
CDC27,Pooled_CD4,48.14702938614546,-0.0827275868442761,0.08978758612304462,-0.9213699846090805,0.3568572940058995,0.6435611261804087,TP4M
NPEPPS,Pooled_CD4,52.441116791349835,-0.12934321255592704,0.08989713201681301,-1.4387913124051235,0.15020965856228852,0.40228202986761896,TP4M
KPNB1,Pooled_CD4,179.72641978200934,-0.006012052250566702,0.06168097635243572,-0.097470121358241,0.9223530609287742,0.9764085315352133,TP4M
TBX21,Pooled_CD4,12.972654505445476,0.42680998332660997,0.1975141790643761,2.1609080692252434,0.03070244146401371,0.16128196655434446,TP4M
OSBPL7,Pooled_CD4,10.95024986435606,0.2035325046736846,0.21156805082169505,0.9620190944861393,0.3360400124375772,,TP4M
MRPL10,Pooled_CD4,41.27055645242841,0.19449805243405632,0.1271427421062707,1.529761347065234,0.12607581241945107,0.36576313658377585,TP4M
SCRN2,Pooled_CD4,26.87611662727343,-0.09980338163516181,0.16729739023285803,-0.596562692916174,0.5507993854282356,0.792827631209898,TP4M
SP2,Pooled_CD4,22.19861164836256,-0.039507549542154345,0.14727537928966328,-0.2682563082349993,0.7885020349820717,0.9226707688730486,TP4M
CDK5RAP3,Pooled_CD4,53.11466654961486,-0.15680905883887866,0.09820807027914899,-1.5967023727598029,0.11033206650491947,0.3401940224139938,TP4M
