gene,cluster,timepoint,log2FoldChange,padj,sig
CD74,6,TP3M,-0.4510997234573283,0.0172358068892074,False
PIM1,6,TP3M,0.3407668101356793,,False
EIF3E,6,TP3M,0.1403960124793961,0.5583028764692958,False
UBC,6,TP3M,-0.0360232275252513,0.9028987437086592,False
HMGB1,6,TP3M,0.0739412145070169,0.6224772824408228,False
PSME2,6,TP3M,-0.5049946292030044,0.0488796991787329,False
STAT3,6,TP3M,-0.2073622027934645,0.4108968232321367,False
SOCS3,6,TP3M,-0.0063053423651094,0.9876065459815828,False
JAK1,7,TP3M,0.1186438620294651,0.7530896422947347,False
ODC1,7,TP3M,-0.1321910638420084,0.8420151594052011,False
IL6ST,7,TP3M,0.0289267638445782,0.96990285699554,False
VCAN,7,TP3M,0.218651651149542,0.5467581430983078,False
HINT1,7,TP3M,0.0612405799022758,0.8856264587487686,False
CD74,7,TP3M,-0.3298315976747079,0.4042897401144346,False
PIM1,7,TP3M,0.7969497343198718,0.1891920489800508,False
EIF3E,7,TP3M,0.1210445787402272,0.7923140320683996,False
UBC,7,TP3M,-0.1182706364996655,0.678766000077381,False
HMGB1,7,TP3M,0.0046263083145399,0.9919702088748064,False
PSME2,7,TP3M,-0.6100686510361677,0.163688728097399,False
STAT3,7,TP3M,-0.253488047639293,0.452206152594086,False
SOCS3,7,TP3M,0.4949232069533812,0.489943472456554,False
JAK1,11,TP3M,0.0846059132268958,0.8372737093304173,False
ODC1,11,TP3M,-0.0532303359409684,0.9391189508500516,False
HINT1,11,TP3M,0.2455834431333947,0.2320790733987781,False
CD74,11,TP3M,-0.3689725367878114,0.2050251090743235,False
EIF3E,11,TP3M,0.0764284001479864,0.8507004554118973,False
UBC,11,TP3M,-0.1423258508735224,0.4633522642445529,False
HMGB1,11,TP3M,0.1880847488961271,0.6109363323675674,False
PSME2,11,TP3M,-0.2766296909329917,0.4934537565791123,False
STAT3,11,TP3M,-0.0806104745519049,0.8907048239882168,False
JAK1,0,TP4M,-0.0320886044810048,0.848288008517097,False
ODC1,0,TP4M,0.3267160161316366,0.1834919322644129,False
IL6ST,0,TP4M,-0.028213190000349,0.9382891206204615,False
VCAN,0,TP4M,-0.3366471157062417,,False
HINT1,0,TP4M,0.0769722320199555,0.3687913329642913,False
CD74,0,TP4M,0.0310659496593107,0.9361835277053882,False
PIM1,0,TP4M,0.0627246730930204,0.8111087036752113,False
EIF3E,0,TP4M,0.1572104204273759,0.1755733034012714,False
UBC,0,TP4M,0.1588173283825581,0.2031945804668581,False
HMGB1,0,TP4M,0.0639417166714438,0.5714203110415759,False
PSME2,0,TP4M,0.0560853077261568,0.8454480711992821,False
STAT3,0,TP4M,-0.077275471016103,0.7225082442549927,False
SOCS3,0,TP4M,-0.303567039748007,0.2276684405098206,False
JAK1,2,TP4M,0.0058177533258658,0.9796941530753732,False
ODC1,2,TP4M,0.466928067620196,0.0045503858948128,False
IL6ST,2,TP4M,-0.1573425474590015,0.342661045490275,False
HINT1,2,TP4M,0.1274343771493654,0.0906874496343473,False
CD74,2,TP4M,-0.1811249931613675,0.4269344384344807,False
PIM1,2,TP4M,0.0718479454319519,0.8414817678500021,False
EIF3E,2,TP4M,0.0335753919012294,0.8759738962071593,False
UBC,2,TP4M,0.2119124902233363,0.0474996415486477,False
HMGB1,2,TP4M,0.0520967591949061,0.5960535728297733,False
PSME2,2,TP4M,-0.0856109821295561,0.7832523296694787,False
STAT3,2,TP4M,-0.0424632695018863,0.8417795852671358,False
SOCS3,2,TP4M,-0.1116573175805588,0.678315168161857,False
JAK1,5,TP4M,-0.0395843462440778,0.860395999414344,False
ODC1,5,TP4M,0.0711984258840741,0.814780855288237,False
IL6ST,5,TP4M,-0.3279344856612289,0.0486105582045782,False
HINT1,5,TP4M,0.0582098084219906,0.7130301772242438,False
CD74,5,TP4M,0.296488391833285,0.1842033013984782,False
PIM1,5,TP4M,0.6471579114306169,0.0099996644770354,False
EIF3E,5,TP4M,0.028887003547057,0.8841009496971901,False
UBC,5,TP4M,-0.0431905641726675,0.814780855288237,False
HMGB1,5,TP4M,0.0574574502649947,0.6219755587053707,False
PSME2,5,TP4M,0.1484365474889025,0.5576931017963703,False
STAT3,5,TP4M,0.1016078216737298,0.7514825613615732,False
SOCS3,5,TP4M,-0.0760349439449958,0.9064729071793918,False
JAK1,6,TP4M,-0.1898212533490675,0.3843400510140158,False
ODC1,6,TP4M,0.452427506958898,0.076059380332569,False
