gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CSNK2A2,3,TP3M,9.676704553534236,-0.33714387320165595,0.1686638252623478,-1.998910392772405,0.045618050061783016,0.21283983649264018
CNOT1,3,TP3M,20.412321522294775,0.5106631200340344,0.12777785485098744,3.9964915722647074,6.428816930357617e-05,0.003924392123372787
CKLF,3,TP3M,22.664557344056192,0.04549545560950406,0.13632901188461932,0.33371807644295615,0.7385923077978125,0.9013321138615827
CMTM3,3,TP3M,13.95147620910781,0.0118536737129519,0.16604764494941052,0.07138718357952827,0.9430896096071902,0.9830193811603584
DYNC1LI2,3,TP3M,10.461554905935303,0.10117283227133754,0.16670850615627128,0.6068846431657117,0.5439274701989159,0.7899943537845134
NAE1,3,TP3M,11.577437318483113,-0.15958831537657972,0.16211369056143424,-0.9844221966935143,0.3249079687267916,0.6293368897277734
FAM96B,3,TP3M,26.186896557511957,-0.21472519535298068,0.11773825798690866,-1.8237504021577762,0.06818981521043553,0.2643538296572157
TMEM208,3,TP3M,13.981850439832751,-0.17474855354681632,0.14722502003446655,-1.1869487503272629,0.2352478362936179,0.5317200033906668
ATP6V0D1,3,TP3M,13.474007514713204,-0.084432142428781,0.14545730249022382,-0.5804599767994164,0.5616044692788577,0.7992861476958146
CTCF,3,TP3M,18.60975259513678,-0.017652312458362067,0.1412599818383471,-0.12496329270778718,0.900552610665725,0.9702656516718154
PSMB10,3,TP3M,14.068997558842408,-0.5007563391358824,0.16574198133430754,-3.021300548627078,0.0025169139677433104,0.03867335115820971
NFATC3,3,TP3M,29.24461030239537,-0.05483780519190055,0.10601988726941262,-0.5172407423198759,0.6049881142850314,0.8294903531767311
CYB5B,3,TP3M,12.973390040986043,-0.1897329421355828,0.16233654372088663,-1.1687629771260881,0.24249914064407707,0.539336989212575
NFAT5,3,TP3M,14.829186179878972,-3.0773332036815346e-06,0.17254516397130254,-1.783494322792699e-05,0.9999857697741564,0.9999857697741564
EXOSC6,3,TP3M,16.227927327461465,0.311776808117096,0.15293559004290205,2.0386151322241948,0.04148845378449235,0.20195941194892836
IST1,3,TP3M,13.129269259858738,0.3470357619208312,0.14985998557141725,2.3157333199891967,0.02057283394690442,0.14231769977122624
DHX38,3,TP3M,11.764059828246076,0.007558268834576984,0.15801290416295907,0.04783323789038219,0.9618491468590659,0.9863656207009408
PSMD7,3,TP3M,21.426148130809384,0.15461173373405437,0.1339985690838215,1.1538312296255828,0.24856936797313622,0.5459984192729508
