grouping,comparison,res1_cluster,res2_cluster,cluster_overlap_pct,sig_genes_res1,sig_genes_res2,conserved,lost,gained,conserved_pct_of_res1,direction_agreement_pct,conserved_genes,lost_genes,gained_genes
DRVI,ACS_TP1M_vs_TP4M,1,5,40.3,4,3,2,2,1,50.0,100.0,IGHA1;IGKC,IGLC2;MARCKSL1,MTRNR2L12
DRVI,ACS_TP1M_vs_TP4M,2,6,52.2,62,33,23,39,10,37.1,100.0,AREG;CYP1B1;DNAJB1;DNAJB4;DUSP2;EGR3;EIF4A3;FKBP5;HIST1H4C;HSP90AA1;HSPE1;IGHA1;IGKC;IGLC2;IL32;KLF9;PHC2;SAP30;SLC44A1;TEX14;THBS1;TRBC1;TRBC2,BX284668.5;CAVIN2;CCL5;CD2;CLU;CSKMT;CST7;DENND3;DNAJC19;GNG11;GPR160;HSPH1;IFI44L;IFIT2;IGLC3;ISG15;JCHAIN;LACC1;LAT;LY6E;MRPL18;MX1;NEU1;OASL;PDE3B;PF4;PPBP;RECK;RRM2B;S100P;SEMA6B;SNHG12;SOCS1;STX6;TRAC;TUBB1;UBXN2B;ZNF331;ZNF593,CCL3L1;CCL4L2;DDIT3;EGR1;FABP5;HSPA1B;HSPA8;HSPD1;IGHM;ODC1
DRVI,ACS_TP1M_vs_TP4M,3,7,50.6,3,5,2,1,3,66.7,100.0,EIF4A3;IGKC,IGHA1,HIST1H4C;SNHG25;TUBB4B
DRVI,ACS_TP1M_vs_TP4M,4,10,43.3,6,6,4,2,2,66.7,100.0,EIF4A3;GADD45B;IGKC;TUBB4B,IGHA1;UBE2S,CITED2;MTRNR2L12
DRVI,ACS_TP1M_vs_TP4M,5,9,50.7,5,2,2,3,0,40.0,100.0,IGHA1;IGKC,H2AFX;TUBB4B;UBE2S,
DRVI,ACS_TP1M_vs_TP4M,6,2,95.8,6,5,5,1,0,83.3,100.0,EIF4A3;IGHA1;IGKC;MARCKSL1;RGCC,ODC1,
DRVI,ACS_TP1M_vs_TP4M,7,3,96.8,12,12,12,0,0,100.0,100.0,CCL5;DNAJB1;FKBP5;HIST1H4C;HSPA1A;HSPA1B;IGHA1;IGKC;PTPN6;RGCC;SAP30;THBS1,,
DRVI,ACS_TP1M_vs_TP4M,8,4,96.8,4,2,2,2,0,50.0,100.0,IGKC;S100A9,FKBP5;IGHA1,
DRVI,ACS_TP1M_vs_TP4M,9,8,83.6,3,5,2,1,3,66.7,100.0,DNAJB1;TUBB4B,S100A9,EIF4A3;RGCC;SNHG12
DRVI,ACS_TP1M_vs_TP4M,10,15,98.1,13,9,4,9,5,30.8,100.0,DUSP2;EIF4A3;HSPA1A;HSPA1B,CCL4;CKS2;EIF3J;ERGIC1;KLF9;MDM2;S100A9;SNHG25;TPP1,AC007952.4;FKBP5;MTRNR2L8;NEU1;TNFSF10
DRVI,ACS_TP1M_vs_TP4M,11,17,94.8,4,5,4,0,1,100.0,100.0,EIF4A3;ODC1;RGCC;UBE2S,,ZNF331
DRVI,ACS_TP1M_vs_TP4M,12,23,99.3,4,5,4,0,1,100.0,100.0,IGHA1;IGKC;IGLC3;LY6E,,EIF4A3
DRVI,ACS_TP1M_vs_TP4M,13,25,99.6,0,0,0,0,0,,,,,
DRVI,ACS_TP1M_vs_TP4M,14,30,73.5,0,0,0,0,0,,,,,
DRVI,ACS_TP1M_vs_TP4M,15,28,98.1,0,0,0,0,0,,,,,
DRVI,ACS_TP1M_vs_TP4M,16,26,98.4,0,0,0,0,0,,,,,
DRVI,ACS_TP1M_vs_TP4M,17,31,100.0,0,0,0,0,0,,,,,
DRVI,ACS_TP1M_vs_TP4M,18,32,61.8,0,0,0,0,0,,,,,
